Repeat,Fold,Proposed,FG - SVM,FG - ANN,FG - Random Forest,FG - Naive Bayes,FG - AdaBoost,FG - Decision Tree,Inception ResNet V2,VGG16,Inception V3,AlexNet,ResNet50
1,1,0.995370651179556,0.9935200068110382,0.9853964984875834,0.984205994245566,0.9292651171843652,0.9192430946010398,0.9190181640389679,0.9949696729690992,0.9828185124069135,0.9799601648105792,0.9843504968881476,0.9593361035515626
1,2,0.9936394599387197,0.9903535960862742,0.9893208341221025,0.9824056180514955,0.9325150478899543,0.9098923259601915,0.9147071808262224,0.99051977721872,0.9856436403091537,0.9830631786599738,0.9746056604173416,0.9550131848674953
1,3,0.9959444968825925,0.990222086757516,0.9907695885844843,0.9816400626194471,0.9326250774412675,0.9030790018454641,0.9122065305768524,0.9932128285640052,0.9796386384995197,0.9818262778358238,0.9817702035446495,0.9484005469005946
1,4,0.9961892522713947,0.9898473833193961,0.9920024182155346,0.9824498508743201,0.9357032069506258,0.9157494469370301,0.9182258354156271,0.9921911921660935,0.9806879854585127,0.9883741289848332,0.9782073291698997,0.9468430251987018
1,5,0.9924665572371715,0.9916240988967387,0.9923663382299415,0.9786608400105957,0.9342871362755368,0.9203610288351386,0.9155378375038364,0.9925017633946615,0.9936703633544555,0.9868202687344727,0.9790057529332802,0.9520209580251943
2,1,0.9933019051081956,0.9922615817100559,0.9926054129051891,0.9792270221683208,0.9329949162949126,0.9397841125088229,0.919929676258962,0.9951420396334584,0.9813364114129353,0.9832704910661884,0.9760428271210299,0.9458393875044293
2,2,0.9951429371294719,0.9907170378668396,0.9892805421444879,0.9795202524005291,0.9359845297991034,0.9223234438625982,0.9145637693239191,0.9942199442136709,0.9820245984026402,0.9798361127575842,0.9781896068822524,0.948538048678334
2,3,0.9945712171071801,0.9898145969254026,0.9889497450855959,0.9802873161557811,0.9288185644544834,0.9314124187389868,0.9089789372154624,0.9958061423481601,0.9926150584242183,0.9787918001355491,0.9830736636521862,0.9534025360061716
2,4,0.9949567231173898,0.9898340761623204,0.9927935637728513,0.9835799726217883,0.9303020108009072,0.9156109722961895,0.9084088700962367,0.9928454188259174,0.996471022522557,0.9856777357640089,0.9809300303205842,0.9575750790426757
2,5,0.9938801299130152,0.9916671120198085,0.9897388350534694,0.9805036047705492,0.9295270022548818,0.9083005970335382,0.9203866019993685,0.9917709225508037,0.9817546437496585,0.9829025204797979,0.9843653220365908,0.9548708233635453
3,1,0.9961105051651473,0.9917822598957339,0.9865819158491561,0.9817464436542801,0.9309773611915925,0.9106443907877431,0.9206751772184867,0.9927077856435662,0.9846545674912203,0.9835523693833446,0.9827072244869893,0.9405217770851
3,2,0.995979695817081,0.9915336009835586,0.9869964768466413,0.9856999072167554,0.9283107903639378,0.9132021034811342,0.9131246038466049,0.9936332809946072,0.9872169148856319,0.9769020627068176,0.9805010326556781,0.9533647207860761
3,3,0.9950633622603051,0.9900316258950974,0.9876190061690784,0.981798056699492,0.9337468372772936,0.9436281851636337,0.9123165841085682,0.9935024541544647,0.9922244062303166,0.9848894531012972,0.9844000525218607,0.9522151688552295
3,4,0.9964295827691457,0.9911471381900383,0.9917431366747753,0.9843759994313251,0.9314301868071199,0.9121768397791441,0.9196348568058774,0.9910000420004259,0.9824214330275929,0.9834754763136392,0.9805007532077069,0.953906628010787
3,5,0.9955802327147305,0.9910036397911893,0.9907104104207997,0.9804372844927618,0.9280564747756013,0.9298744231205016,0.9094447950527322,0.9933316189618333,0.9850984850798423,0.9787977212353698,0.9816631104177581,0.9598555360723203
4,1,0.9938720854420883,0.9911303959856361,0.9923059551048935,0.9821535413667486,0.9292865129803012,0.9113074556347445,0.9102871344466441,0.993604964846557,0.9887900592154335,0.9807075804918032,0.9783028118211509,0.9416501426553946
4,2,0.9954530892626079,0.991941539124859,0.9890519278673607,0.9803986208155606,0.9328777637493664,0.9308668819464052,0.916389110120137,0.9981480350328076,0.9875533987195443,0.9829054140265936,0.9793878421567624,0.9489340598187836
4,3,0.9937438713999791,0.991136493726515,0.9907573223522858,0.9818386684126733,0.9342952837700764,0.9250388020711489,0.9122712858571389,0.9968766885637764,0.9846260233303036,0.9822739304890782,0.9771050221279385,0.9547824785836813
4,4,0.9961092851140493,0.9917023055059768,0.9921170289274985,0.9846182725279944,0.9374258689828665,0.9192643859526876,0.9138164966508784,0.9914587549687878,0.9855008298408392,0.9812437160742519,0.9821459751987193,0.9440332491357767
4,5,0.9949140777448119,0.9909426161310804,0.9893951833371238,0.978566596530446,0.9399039872547927,0.920499848233804,0.9131883839827113,0.9925817194620081,0.9810206388402203,0.981807739399071,0.9756681037188755,0.9591615460921971
5,1,0.9947403582544354,0.9912179184998682,0.9916255639179279,0.9836616382674065,0.9331503867860099,0.913953116807182,0.9151760883454854,0.9902477991979165,0.9851241304187599,0.9813638660341403,0.9815267398644621,0.9536813337726101
5,2,0.9941017129053323,0.991643122745881,0.9883687326170452,0.9831980617531634,0.9293568764739538,0.9256904761921487,0.9194207697317537,0.99197976544824,0.9850222806589312,0.982573143146717,0.9786193113882976,0.956047535868443
